
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048072                       # Number of seconds simulated (Second)
simTicks                                  48071764000                       # Number of ticks simulated (Tick)
finalTick                                11997222411500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1005.94                       # Real time elapsed on the host (Second)
hostTickRate                                 47787914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9899644                       # Number of bytes of host memory used (Byte)
simInsts                                    200000004                       # Number of instructions simulated (Count)
simOps                                      302359584                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     300574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96143528                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.080223                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       226480357                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      226439695                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    709                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               258433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316828                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 624                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95738351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.365193                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.680542                       # Number of insts issued each cycle (Count)
system.ruby.delayVCHist.vnet_1::samples       3294952                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::mean         0.182511                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::stdev        1.188987                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1           |     3217038     97.64%     97.64% |        2478      0.08%     97.71% |        1445      0.04%     97.75% |        1534      0.05%     97.80% |       72229      2.19%     99.99% |           6      0.00%     99.99% |           4      0.00%     99.99% |           4      0.00%     99.99% |         212      0.01%    100.00% |           2      0.00%    100.00% # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_1::total         3294952                       # delay histogram for vnet_1 (Unspecified)
system.ruby.delayVCHist.vnet_2::bucket_size            1                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::max_bucket            9                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::samples          4837                       # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2           |        4837    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% # delay histogram for vnet_2 (Unspecified)
system.ruby.delayVCHist.vnet_2::total            4837                       # delay histogram for vnet_2 (Unspecified)
system.ruby.Directory_Controller.Fetch         285844      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.Data          262861      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.Memory_Data       285844      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.Memory_Ack       262861      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.CleanReplacement        22983      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.I.Fetch       285844      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.M.Data        262861      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.M.CleanReplacement        22983      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.IM.Memory_Data       285844      0.00%      0.00% (Unspecified)
system.ruby.Directory_Controller.MI.Memory_Ack       262861      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.Load          30756612      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.Ifetch        14022855      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.Store         12034648      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.Inv               4837      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.L1_Replacement      1357164      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.Data_Exclusive       157269      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.Data_all_Acks      1204494      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.WB_Ack         1356664      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.NP.Load         157237      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.NP.Ifetch          437      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.NP.Store       1199494      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.NP.Inv              81      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.I.Load              32      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.I.Ifetch          4554      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.I.Store              9      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.I.L1_Replacement          176      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.S.Ifetch      14017864      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.S.Inv             4648      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.S.L1_Replacement          323      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.E.Load         4996416      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.E.Store           3109      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.E.Inv               20      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.E.L1_Replacement       154152      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Load        25602355      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Store       10832036      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Inv               88      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.M.L1_Replacement      1202512      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.IS.L1_Replacement            1      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.IS.Data_Exclusive       157269      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.IS.Data_all_Acks         4991      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.IM.Data_all_Acks      1199503      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.M_I.Load           572      0.00%      0.00% (Unspecified)
system.ruby.L1Cache_Controller.M_I.WB_Ack      1356664      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_GET_INSTR         4991      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_GETS         157269      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_GETX        1199503      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_PUTX        1356664      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L2_Replacement       262804      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L2_Replacement_clean        23040      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Mem_Data        285844      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Mem_Ack         285844      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.WB_Data             88      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Ack_all           4749      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Exclusive_Unblock      1356772      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.NP.L1_GET_INSTR         4753      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.NP.L1_GETS        22139      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.NP.L1_GETX       258952      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.SS.L1_GET_INSTR          238      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.SS.L2_Replacement_clean         4729      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.M.L1_GETS       135130      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.M.L1_GETX       940551      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.M.L2_Replacement       262773      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.M.L2_Replacement_clean        18234      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MT.L1_PUTX      1356664      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MT.L2_Replacement           31      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MT.L2_Replacement_clean           77      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.M_I.Mem_Ack       285844      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MT_I.WB_Data           31      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MCT_I.WB_Data           57      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MCT_I.Ack_all           20      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.I_I.Ack_all         4729      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.ISS.Mem_Data        22139      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.IS.Mem_Data         4753      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.IM.Mem_Data       258952      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.MT_MB.Exclusive_Unblock      1356772      0.00%      0.00% (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::bucket_size          128                       (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::max_bucket         1279                       (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::samples     30756040                       (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::mean     1.209173                       (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::gmean     1.017100                       (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::stdev     5.633957                       (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr |    30735929     99.93%     99.93% |       17328      0.06%     99.99% |        1837      0.01%    100.00% |         628      0.00%    100.00% |         208      0.00%    100.00% |          91      0.00%    100.00% |          10      0.00%    100.00% |           5      0.00%    100.00% |           4      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.LD.latency_hist_seqr::total     30756040                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::samples     30598771                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::mean     1.001012                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::gmean     1.000701                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::stdev     0.031788                       (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr |           0      0.00%      0.00% |    30567820     99.90%     99.90% |       30951      0.10%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.LD.hit_latency_hist_seqr::total     30598771                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::bucket_size          128                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::max_bucket         1279                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::samples       157269                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::mean    41.709771                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::gmean    24.033617                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::stdev    67.517168                       (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr |      137158     87.21%     87.21% |       17328     11.02%     98.23% |        1837      1.17%     99.40% |         628      0.40%     99.80% |         208      0.13%     99.93% |          91      0.06%     99.99% |          10      0.01%     99.99% |           5      0.00%    100.00% |           4      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.LD.miss_latency_hist_seqr::total       157269                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::bucket_size          256                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::max_bucket         2559                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::samples     12027069                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::mean     5.192398                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::gmean     1.393462                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::stdev    25.367016                       (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr |    12010060     99.86%     99.86% |       11657      0.10%     99.96% |        4992      0.04%    100.00% |         257      0.00%    100.00% |          84      0.00%    100.00% |          18      0.00%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.ST.latency_hist_seqr::total     12027069                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::samples     10828412                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::mean     1.041966                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::gmean     1.029486                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::stdev     0.232242                       (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr |    10828411    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.ST.hit_latency_hist_seqr::total     10828412                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::bucket_size          256                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::max_bucket         2559                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::samples      1198657                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::mean    42.686514                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::gmean    21.468968                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::stdev    69.962039                       (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr |     1181649     98.58%     98.58% |       11656      0.97%     99.55% |        4992      0.42%     99.97% |         257      0.02%     99.99% |          84      0.01%    100.00% |          18      0.00%    100.00% |           1      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.ST.miss_latency_hist_seqr::total      1198657                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::bucket_size          128                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::max_bucket         1279                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::samples     14022855                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::mean     1.045683                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::gmean     1.001687                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::stdev     2.853395                       (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr |    14020957     99.99%     99.99% |        1702      0.01%    100.00% |          58      0.00%    100.00% |          77      0.00%    100.00% |          44      0.00%    100.00% |          11      0.00%    100.00% |           0      0.00%    100.00% |           3      0.00%    100.00% |           3      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.IFETCH.latency_hist_seqr::total     14022855                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::samples     14017864                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::mean     1.000010                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::gmean     1.000007                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::stdev     0.003172                       (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr |           0      0.00%      0.00% |    14017723    100.00%    100.00% |         141      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.IFETCH.hit_latency_hist_seqr::total     14017864                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::bucket_size          128                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::max_bucket         1279                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::samples         4991                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::mean   129.324384                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::gmean   111.731513                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::stdev    80.097285                       (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr |        3093     61.97%     61.97% |        1702     34.10%     96.07% |          58      1.16%     97.24% |          77      1.54%     98.78% |          44      0.88%     99.66% |          11      0.22%     99.88% |           0      0.00%     99.88% |           3      0.06%     99.94% |           3      0.06%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.IFETCH.miss_latency_hist_seqr::total         4991                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::samples         7571                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::mean     3.850350                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::gmean     1.479702                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::stdev    13.314325                       (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr |        7528     99.43%     99.43% |           2      0.03%     99.46% |          37      0.49%     99.95% |           3      0.04%     99.99% |           0      0.00%     99.99% |           1      0.01%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.RMW_Read.latency_hist_seqr::total         7571                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::bucket_size           32                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::max_bucket          319                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::samples         6725                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::mean     1.666320                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::gmean     1.095409                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::stdev     6.765504                       (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr |        6710     99.78%     99.78% |           1      0.01%     99.79% |           0      0.00%     99.79% |           2      0.03%     99.82% |           9      0.13%     99.96% |           3      0.04%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.RMW_Read.hit_latency_hist_seqr::total         6725                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::bucket_size           64                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::max_bucket          639                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::samples          846                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::mean    21.211584                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::gmean    16.155417                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::stdev    29.734508                       (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr |         817     96.57%     96.57% |           0      0.00%     96.57% |          25      2.96%     99.53% |           3      0.35%     99.88% |           0      0.00%     99.88% |           1      0.12%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.RMW_Read.miss_latency_hist_seqr::total          846                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::samples            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::mean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::gmean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr |           0      0.00%      0.00% |           4    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.latency_hist_seqr::total            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::samples            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::mean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::gmean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr |           0      0.00%      0.00% |           4    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Read.hit_latency_hist_seqr::total            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::samples            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::mean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::gmean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr |           0      0.00%      0.00% |           4    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.latency_hist_seqr::total            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::bucket_size            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::max_bucket            9                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::samples            4                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::mean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::gmean            1                       (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr |           0      0.00%      0.00% |           4    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.RequestType.Locked_RMW_Write.hit_latency_hist_seqr::total            4                       (Unspecified)
system.ruby.clk_domain.clock                      500                       # Clock period in ticks (Tick)
system.ruby.crossbars.transDist::ReadReq       285844                       # Transaction distribution (Count)
system.ruby.crossbars.transDist::ReadResp       285844                       # Transaction distribution (Count)
system.ruby.crossbars.transDist::WriteReq       262861                       # Transaction distribution (Count)
system.ruby.crossbars.transDist::WriteResp       262861                       # Transaction distribution (Count)
system.ruby.crossbars.pktCount_system.ruby.dir_cntrl0.memory::system.mem_ctrls0.port         6126                       # Packet count per connected requestor and responder (Count)
system.ruby.crossbars.pktCount_system.ruby.dir_cntrl0.memory::system.mem_ctrls1.port      1091284                       # Packet count per connected requestor and responder (Count)
system.ruby.crossbars.pktCount_system.ruby.dir_cntrl0.memory::total      1097410                       # Packet count per connected requestor and responder (Count)
system.ruby.crossbars.pktSize_system.ruby.dir_cntrl0.memory::system.mem_ctrls0.port       196032                       # Cumulative packet size per connected requestor and responder (Byte)
system.ruby.crossbars.pktSize_system.ruby.dir_cntrl0.memory::system.mem_ctrls1.port     34921088                       # Cumulative packet size per connected requestor and responder (Byte)
system.ruby.crossbars.pktSize_system.ruby.dir_cntrl0.memory::total     35117120                       # Cumulative packet size per connected requestor and responder (Byte)
system.ruby.crossbars.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.crossbars.reqLayer0.occupancy      1663500                       # Layer occupancy (ticks) (Tick)
system.ruby.crossbars.reqLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.ruby.crossbars.reqLayer1.occupancy    798411000                       # Layer occupancy (ticks) (Tick)
system.ruby.crossbars.reqLayer1.utilization          0.0                       # Layer utilization (Ratio)
system.ruby.crossbars.respLayer0.occupancy    898429500                       # Layer occupancy (ticks) (Tick)
system.ruby.crossbars.respLayer0.utilization          0.0                       # Layer utilization (Ratio)
system.ruby.dir_cntrl0.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.dir_cntrl0.requestToDir.m_msg_count       285844                       # Number of messages passed the buffer (Count)
system.ruby.dir_cntrl0.requestToDir.m_buf_msgs     0.002973                       # Average number of messages in buffer ((Count/Tick))
system.ruby.dir_cntrl0.requestToMemory.m_msg_count       548705                       # Number of messages passed the buffer (Count)
system.ruby.dir_cntrl0.requestToMemory.m_buf_msgs     0.008925                       # Average number of messages in buffer ((Count/Tick))
system.ruby.dir_cntrl0.requestToMemory.m_stall_time    154709000                       # Total number of ticks messages were stalled in this buffer (Tick)
